state,cod,cum_excess_lower,cum_excess_upper,cum_observed,cum_expected,cum_excess,increase,rate,corr
R1,All Causes,95568,128711,"586,357","474,070","112,287",23.70%,173.7,0.99
R1,Alzheimers Disease,518,3348,"14,698","12,753","1,945",15.30%,3,0.96
R1,CLRD,-3170,168,"19,600","21,085","-1,485",-7.00%,-2.3,0.72
R1,COVID-19,,,"94,903",,,,,
R1,Cancer,-4407,-1873,"99,116","102,242","-3,126",-3.10%,-4.8,0.28
R1,Cardiovascular Disease,3633,23376,"154,739","141,155","13,584",9.60%,21,0.93
R1,Diabetes,1987,3575,"15,377","12,590","2,787",22.10%,4.3,0.96
R1,HIV,-66,451,888,694,194,28.00%,0.3,0.5
R1,Homicide,379,875,"3,115","2,485",630,25.30%,1,-0.23
R1,Influenza and Pneumonia,-1758,2608,"9,621","9,167",454,5.00%,0.7,0.68
R1,Injury of Undetermined Intent,-159,446,"2,262","2,116",146,6.90%,0.2,-0.44
R1,Kidney Disease,-657,531,"8,661","8,716",-55,-0.60%,-0.1,0.75
R1,Liver Disease,587,1175,"6,489","5,605",884,15.80%,1.4,-0.07
R1,Motor Vehicle Accidents,-35,666,"4,274","3,955",319,8.10%,0.5,-0.71
R1,Other External Causes,-299,3371,"28,103","26,553","1,550",5.80%,2.4,0.27
R1,Other Internal Causes,2159,13900,"112,668","104,593","8,075",7.70%,12.5,0.94
R1,Suicide,-1150,-546,"5,369","6,212",-843,-13.60%,-1.3,-0.7
R1,Unknown Disease,-739,969,"6,474","6,350",124,2.00%,0.2,0.84
R2,All Causes,175323,234676,"1,158,758","953,374","205,384",21.50%,160.9,0.97
R2,Alzheimers Disease,2477,10047,"46,701","40,410","6,291",15.60%,4.9,0.8
R2,CLRD,-4276,3656,"53,652","53,910",-258,-0.50%,-0.2,0.26
R2,COVID-19,,,"128,704",,,,,
R2,Cancer,-1608,3350,"199,149","198,251",898,0.50%,0.7,0.12
R2,Cardiovascular Disease,13033,39866,"309,172","282,621","26,551",9.40%,20.8,0.68
R2,Diabetes,4330,7249,"36,088","30,282","5,806",19.20%,4.5,0.86
R2,HIV,16,644,"2,206","1,873",333,17.80%,0.3,0.2
R2,Homicide,930,2265,"10,211","8,607","1,604",18.60%,1.3,-0.36
R2,Influenza and Pneumonia,-2417,3675,"15,774","15,132",642,4.20%,0.5,0.24
R2,Injury of Undetermined Intent,10,321,"1,326","1,159",167,14.40%,0.1,-0.3
R2,Kidney Disease,-287,1578,"18,458","17,806",652,3.70%,0.5,0.23
R2,Liver Disease,1974,3052,"18,936","16,418","2,518",15.30%,2,-0.31
R2,Motor Vehicle Accidents,-977,1962,"18,423","17,919",504,2.80%,0.4,-0.33
R2,Other External Causes,6688,11116,"56,432","47,512","8,920",18.80%,7,0.35
R2,Other Internal Causes,12987,27286,"215,390","195,164","20,226",10.40%,15.8,0.75
R2,Suicide,-1435,-92,"16,401","17,156",-755,-4.40%,-0.6,-0.35
R2,Unknown Disease,-1797,4086,"11,735","10,567","1,168",11.10%,0.9,0.39
R3,All Causes,88180,125371,"685,193","578,167","107,026",18.50%,118,0.97
R3,Alzheimers Disease,141,4315,"33,699","31,454","2,245",7.10%,2.5,0.6
R3,CLRD,-3326,354,"29,372","30,842","-1,470",-4.80%,-1.6,-0.28
R3,COVID-19,,,"73,572",,,,,
R3,Cancer,-1734,1140,"124,697","124,980",-283,-0.20%,-0.3,0.39
R3,Cardiovascular Disease,3530,19451,"182,578","171,022","11,556",6.80%,12.7,0.54
R3,Diabetes,2107,4084,"21,909","18,805","3,104",16.50%,3.4,0.79
R3,HIV,-23,245,829,716,113,15.70%,0.1,0.02
R3,Homicide,790,1466,"4,613","3,481","1,132",32.50%,1.2,-0.14
R3,Influenza and Pneumonia,-3579,1436,"9,255","10,304","-1,049",-10.20%,-1.2,-0.23
R3,Injury of Undetermined Intent,-50,225,833,744,89,12.00%,0.1,-0.14
R3,Kidney Disease,-558,619,"8,716","8,680",36,0.40%,0,0.38
R3,Liver Disease,1279,2123,"12,536","10,831","1,705",15.70%,1.9,-0.34
R3,Motor Vehicle Accidents,-333,1073,"9,368","8,991",377,4.20%,0.4,-0.43
R3,Other External Causes,3588,5459,"33,780","29,245","4,535",15.50%,5,0.25
R3,Other Internal Causes,2499,13317,"122,017","114,068","7,949",7.00%,8.8,0.15
R3,Suicide,-1133,-42,"11,442","12,026",-584,-4.90%,-0.6,-0.31
R3,Unknown Disease,-59,1676,"5,977","5,162",815,15.80%,0.9,0.03
R4,All Causes,62957,92364,"450,303","372,522","77,781",20.90%,164.9,0.98
R4,Alzheimers Disease,823,3500,"17,623","15,446","2,177",14.10%,4.6,0.7
R4,CLRD,-2527,1001,"20,353","21,095",-742,-3.50%,-1.6,0.18
R4,COVID-19,,,"54,332",,,,,
R4,Cancer,-1545,293,"78,744","79,361",-617,-0.80%,-1.3,-0.29
R4,Cardiovascular Disease,1967,13974,"122,684","114,657","8,027",7.00%,17,0.69
R4,Diabetes,1558,2678,"12,923","10,800","2,123",19.70%,4.5,0.69
R4,HIV,-39,109,344,308,36,11.60%,0.1,0.09
R4,Homicide,635,1156,"3,576","2,679",897,33.50%,1.9,-0.44
R4,Influenza and Pneumonia,-1767,897,"6,212","6,644",-432,-6.50%,-0.9,-0.05
R4,Injury of Undetermined Intent,-80,108,740,724,16,2.10%,0,0.03
R4,Kidney Disease,-470,489,"7,373","7,358",15,0.20%,0,0.12
R4,Liver Disease,485,1023,"5,970","5,213",757,14.50%,1.6,-0.34
R4,Motor Vehicle Accidents,150,1032,"4,740","4,145",595,14.40%,1.3,-0.72
R4,Other External Causes,526,3197,"22,884","21,012","1,872",8.90%,4,0.07
R4,Other Internal Causes,1652,7607,"83,012","78,341","4,671",6.00%,9.9,0.66
R4,Suicide,-778,-56,"5,201","5,615",-414,-7.40%,-0.9,-0.14
R4,Unknown Disease,-1173,2002,"3,592","3,163",429,13.60%,0.9,0.33
US,All Causes,425749,579883,"2,880,611","2,376,861","503,749",21.20%,152.6,0.99
US,Alzheimers Disease,4551,20362,"112,721","100,210","12,511",12.50%,3.8,0.89
US,CLRD,-12962,5183,"122,977","126,770","-3,793",-3.00%,-1.1,0.16
US,COVID-19,,,"351,511",,,,,
US,Cancer,-6556,3166,"501,706","503,347","-1,641",-0.30%,-0.5,0.11
US,Cardiovascular Disease,26555,97757,"769,173","706,710","62,463",8.80%,18.9,0.82
US,Diabetes,10423,16989,"86,297","72,567","13,730",18.90%,4.2,0.91
US,HIV,146,1109,"4,267","3,635",632,17.40%,0.2,0.51
US,Homicide,2987,5213,"21,515","17,405","4,110",23.60%,1.2,-0.67
US,Influenza and Pneumonia,-9705,8278,"40,862","41,513",-651,-1.60%,-0.2,0.21
US,Injury of Undetermined Intent,-31,873,"5,161","4,735",426,9.00%,0.1,-0.57
US,Kidney Disease,-843,3119,"43,208","42,045","1,163",2.80%,0.4,0.47
US,Liver Disease,4683,6676,"43,931","38,242","5,689",14.90%,1.7,-0.43
US,Motor Vehicle Accidents,-976,3931,"36,805","35,307","1,498",4.20%,0.5,-0.81
US,Other External Causes,11046,21223,"141,199","125,023","16,176",12.90%,4.9,0.26
US,Other Internal Causes,21869,55058,"533,087","494,442","38,645",7.80%,11.7,0.82
US,Suicide,-4142,-1407,"38,413","41,174","-2,761",-6.70%,-0.8,-0.65
US,Unknown Disease,-1501,7217,"27,778","24,883","2,895",11.60%,0.9,0.56
